,cluster,city,year,hotspots_cuts_1_dest,flow_hierarchy_dest,mean_mob_div,% of areas,Fraction of areas
12,C1,Virginia Beach,2018,0.8333333333333334,0.7903841833295889,0.8374500239076459,0.16666666666666663,0.16666666666666663
13,C1,Greensboro,2018,0.925,0.7497913536972124,0.8795764824867089,0.07499999999999996,0.07499999999999996
14,C2,Raleigh,2018,0.9285714285714286,0.6893170773296957,0.8532164962964275,0.0714285714285714,0.0714285714285714
15,C2,Charlotte,2018,0.9107142857142856,0.6814026299311209,0.8440862346692599,0.08928571428571441,0.08928571428571441
16,C2,Columbus,2018,0.9558011049723756,0.5568041157357264,0.8262622355885519,0.04419889502762442,0.04419889502762442
17,C2,Knoxville,2018,0.9433962264150944,0.5661241902354242,0.8384923486178831,0.05660377358490565,0.05660377358490565
18,C2,Detroit,2018,0.9315789473684212,0.6617220251531762,0.763765504718725,0.06842105263157883,0.06842105263157883
19,C2,Toledo,2018,0.9152542372881356,0.6250000000000001,0.8663690898814911,0.0847457627118644,0.0847457627118644
20,C2,Atlanta,2018,0.9292929292929292,0.7037193575655114,0.8220414543267435,0.07070707070707083,0.07070707070707083
21,C2,Cincinnati,2018,0.935897435897436,0.672952643288484,0.8217611415098248,0.06410256410256399,0.06410256410256399
22,C2,Indianapolis,2018,0.9226190476190476,0.6577365794030762,0.8072143080079679,0.07738095238095244,0.07738095238095244
23,C2,Milwaukee,2018,0.9583333333333334,0.7070021881838074,0.8486528017440788,0.04166666666666663,0.04166666666666663
24,C2,Chicago,2018,0.9803921568627452,0.6379412667553462,0.7112519820162496,0.019607843137254832,0.019607843137254832
25,C2,Memphis,2018,0.9545454545454546,0.547510318784579,0.8155090638410987,0.045454545454545414,0.045454545454545414
26,C1,St. Louis,2018,0.8245614035087719,0.8632249413342273,0.8381284999681411,0.17543859649122806,0.17543859649122806
27,C1,Kansas City,2018,0.8818181818181818,0.7044277576385293,0.8653328133566008,0.11818181818181817,0.11818181818181817
28,C1,Tulsa,2018,0.84,0.7213839353757049,0.8704832813800334,0.16000000000000003,0.16000000000000003
29,C2,Dallas,2018,0.9296482412060302,0.5968962644077211,0.7977856697243242,0.07035175879396982,0.07035175879396982
30,C1,Wichita,2018,0.8307692307692308,0.7171361502347419,0.8444229125072713,0.16923076923076918,0.16923076923076918
31,C2,Arlington,2018,0.925925925925926,0.7144013880855985,0.8320081555680279,0.07407407407407396,0.07407407407407396
32,C2,Fort Worth,2018,0.9344262295081968,0.6079678386660955,0.8183944326921793,0.06557377049180324,0.06557377049180324
33,C2,El Paso,2018,0.9537037037037036,0.5620238270333873,0.8568652958280366,0.04629629629629639,0.04629629629629639
34,C2,Colorado Springs,2018,0.9344262295081968,0.6497188517312814,0.8869739505454549,0.06557377049180324,0.06557377049180324
35,C2,Denver,2018,0.9732142857142856,0.6375227239227632,0.8317768694992729,0.026785714285714413,0.026785714285714413
36,C2,Mesa,2018,0.9647058823529412,0.6754322766570605,0.8470650931076643,0.03529411764705881,0.03529411764705881
37,C2,Tucson,2018,0.9493670886075948,0.5607772580064773,0.8619191693242348,0.05063291139240522,0.05063291139240522
38,C2,San Diego,2018,0.9488372093023256,0.6486406985385187,0.7970198550037296,0.051162790697674376,0.051162790697674376
39,C1,Riverside,2018,0.9,0.7867407549338954,0.8705300311006255,0.09999999999999998,0.09999999999999998
40,C2,Phoenix,2018,0.954954954954955,0.4698822313775882,0.8641923867356804,0.04504504504504503,0.04504504504504503
41,C1,Chandler,2018,0.8648648648648649,0.8169247787610618,0.8305090111795799,0.1351351351351351,0.1351351351351351
42,C1,Fresno,2018,0.9213483146067416,0.7481397891173255,0.9051958392890841,0.0786516853932584,0.0786516853932584
43,C2,Los Angeles,2018,0.9864406779661016,0.6342777669965717,0.8783266947449259,0.013559322033898424,0.013559322033898424
44,C1,Long Beach,2018,0.9516129032258064,0.8288142452448403,0.8704166088188552,0.048387096774193616,0.048387096774193616
45,C2,San Francisco,2018,0.9668874172185432,0.6981954225352113,0.790428097510147,0.03311258278145679,0.03311258278145679
46,C1,Oakland,2018,0.9142857142857144,0.8375609756097562,0.8722975415551221,0.08571428571428563,0.08571428571428563
47,C2,Sacramento,2018,0.9682539682539684,0.7337301587301588,0.8432189292909034,0.03174603174603163,0.03174603174603163
48,C1,San Jose,2018,0.8984375,0.7860631885262939,0.8518195202143489,0.1015625,0.1015625
49,C2,Seattle,2018,0.9659090909090908,0.5517886368950199,0.7954821773454741,0.03409090909090917,0.03409090909090917
